Process,Department
Addressing employee grievances and disciplinary cases,Human Resource
Adjusting feed and speed rates to optimize tool life,Shop Floor
"Administering attendance, leave, and timekeeping systems",Human Resource
Administering employee benefits and insurance enrollments,Human Resource
Analyzing downtime and efficiency data,Shop Floor
Analyzing downtime impact,Shop Floor
Analyzing financial performance and preparing management reports,Finance
Analyzing machine utilisation data,Shop Floor
Analyzing test data and preparing validation reports,Engineering
Approving engineering change requests,Engineering
Approving expense reimbursement claims,Finance
Approving vendor invoices for payment processing,Finance
"Arranging meetings, conferences, and event logistics",Admin
Arranging transportation for inter-plant or customer deliveries,Logistics
Arranging transportation for inter-plant transfers,Logistics
Arranging travel bookings and accommodation,Admin
Assembling mechanical components,Shop Floor
Assembling sub-components on the assembly line,Shop Floor
Assisting in pricing decisions through cost structure analysis,Finance
Calibrating measuring instruments and maintaining records,Engineering
Calibrating precision instruments,Engineering
Calibrating torque and pressure testing machines,Shop Floor
Collaborating with production and procurement teams for material flow planning,Logistics
Conducting cost analysis and variance reporting for product lines,Finance
Conducting cost analysis for product lines,Finance
Conducting employee onboarding and induction programs,Human Resource
Conducting employee onboarding sessions,Human Resource
Conducting exit interviews and feedback collection,Human Resource
Conducting exit interviews and processing full-and-final settlements,Human Resource
Conducting feasibility studies for design changes,Engineering
Conducting in-process quality checks using gauges and tools,Shop Floor
Conducting supplier audits and capability assessments,Procurement
Conducting supplier performance evaluations,Procurement
Coordinating background verification and reference checks,Human Resource
Coordinating employee grievance redressal,Human Resource
Coordinating facility maintenance and repairs,Admin
Coordinating housekeeping and sanitation services across premises,Admin
Coordinating inbound material deliveries,Logistics
Coordinating inbound material deliveries from suppliers,Logistics
Coordinating internal communication and notices,Admin
Coordinating internal office moves and space utilization,Admin
Coordinating material inspection upon receipt,Shop Floor
Coordinating return shipments and damaged goods handling,Logistics
Coordinating return shipments and handling damaged goods,Logistics
Coordinating training and professional development sessions,Human Resource
Coordinating with auditors during internal and statutory audits,Finance
Coordinating with banks for fund transfers and foreign exchange transactions,Finance
Coordinating with external vendors for administrative services,Admin
Coordinating with finance for supplier payment processing,Procurement
Coordinating with quality and logistics teams for material flow,Shop Floor
Coordinating with stores and inspection teams for material receipt,Procurement
Coordinating with suppliers for technical specification clarifications,Engineering
Creating and maintaining bill of materials (BOM) for new products,Engineering
Daily meeting for production target,Shop Floor
Defining process parameters and standard operating procedures,Engineering
Designing and reviewing product prototypes using CAD software,Engineering
Designing new product prototypes,Engineering
"Developing jigs, fixtures, and tooling for production support",Engineering
Developing production tooling and fixtures,Engineering
Ensuring adherence to export documentation norms,Shop Floor
Ensuring adherence to safety procedures and PPE compliance,Shop Floor
Ensuring canteen and transport facility operations,Logistics
Ensuring compliance with company procurement policies and standards,Procurement
Ensuring compliance with financial regulations and company policies,Finance
Ensuring compliance with labor laws and statutory regulations,Human Resource
Ensuring compliance with shipping and export documentation requirements,Logistics
Ensuring cost optimization through strategic sourcing initiatives,Procurement
Ensuring fire safety and building evacuation readiness,Admin
Ensuring safety compliance on shop floor,Shop Floor
Ensuring timely renewal of supply contracts,Shop Floor
Ensuring upkeep of common areas and administrative infrastructure,Admin
Floating requests for quotation (RFQs) and evaluating supplier bids,Procurement
Following up with vendors for on-time delivery commitments,Procurement
Forecasting capital expenditure (CAPEX) and tracking utilization,Finance
Forecasting capital expenditure requirements,Finance
Handling non-conformance and supplier corrective action requests (SCARs),Procurement
Handling payroll data and coordination with finance for disbursement,Human Resource
Handling performance appraisal process,Human Resource
"Handling travel bookings, accommodations, and itinerary planning",Admin
Identifying and qualifying reliable suppliers for raw materials and consumables,Procurement
Identifying opportunities for process automation and cost reduction,Engineering
Identifying reliable raw material suppliers,Procurement
Implementing design for manufacturability (DFM) and design for assembly (DFA) principles,Engineering
Inspecting finished components for dimensional accuracy,Shop Floor
Inspecting finished parts for dimensional accuracy,Shop Floor
Inspecting floor safety process,Shop Floor
Inspecting machine operation safety,Shop Floor
Inspecting safety equipment and compliance,Shop Floor
Inspecting safety equipment and compliance,Shop Floor
Inspecting safety equipment and compliance,Shop Floor
Inspecting safety equipment and compliance,Shop Floor
Issuing purchase orders for approved items,Procurement
Issuing purchase orders for approved items and services,Procurement
Liaising with engineering for specification clarifications before purchase,Procurement
Loading raw materials and unloading finished goods from machines,Shop Floor
Maintaining and updating employee master data and personnel files,Human Resource
Maintaining asset register for office equipment,Admin
"Maintaining asset registers for furniture, equipment, and IT assets",Admin
